Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=2423/6400 (37.9%) | best=0.0001159023656 | fearate=1 | iter=15 | np=105 | elapsed=1780.3s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=2460/6400 (38.4%) | best=0.0542294416 | fearate=1 | iter=16 | np=104 | elapsed=1810.5s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=2460/6400 (38.4%) | best=5.433248171e-05 | fearate=1 | iter=16 | np=104 | elapsed=1811.4s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=3224/6400 (50.4%) | best=5.403580393e-05 | fearate=1 | iter=24 | np=86 | elapsed=2373.9s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=3224/6400 (50.4%) | best=0.04558416092 | fearate=1 | iter=24 | np=86 | elapsed=2373.3s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=3278/6400 (51.2%) | best=8.159196427e-05 | fearate=1 | iter=24 | np=84 | elapsed=2408.7s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=4011/6400 (62.7%) | best=0.04161452621 | fearate=1 | iter=34 | np=55 | elapsed=2952.5s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=4027/6400 (62.9%) | best=4.786839916e-05 | fearate=1 | iter=35 | np=71 | elapsed=2964.5s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=4067/6400 (63.5%) | best=7.889170659e-05 | fearate=1 | iter=35 | np=71 | elapsed=2988.5s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=4844/6400 (75.7%) | best=6.835432964e-05 | fearate=1 | iter=47 | np=55 | elapsed=3559.9s
[progress] OPMWADE P21 repeat=6/8 | W2:conflict_single_objective | nfes=4816/6400 (75.2%) | best=0.03942979007 | fearate=1 | iter=47 | np=55 | elapsed=3545.2s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=4839/6400 (75.6%) | best=4.643754818e-05 | fearate=1 | iter=47 | np=61 | elapsed=3562.4s
[progress] OPMWADE P21 repeat=6/8 | W1:conflict_single_objective | nfes=5601/6400 (87.5%) | best=6.01877694e-05 | fearate=1 | iter=60 | np=55 | elapsed=4117.0s
[progress] OPMWADE P21 repeat=6/8 | W3:conflict_single_objective | nfes=5603/6400 (87.5%) | best=4.202742801e-05 | fearate=1 | iter=60 | np=56 | elapsed=4125.1s
